store_key,item_key,policy_key,service_level,z_value,safety_stock,reorder_point,avg_inventory,holding_cost
1,1,1,0.9,1.2815515655446004,21.556454449751968,176.76467362783416,102.82278198941022,47250.76994428561
1,1,2,0.9,1.2815515655446004,16.125558633864696,171.3337778119469,97.39188617352295,44755.07780463604
1,1,1,0.91,1.3407550336902165,22.552291760290448,177.76051093837265,103.8186192999487,47708.39303862122
1,1,2,0.91,1.3407550336902165,16.87050641636346,172.07872559444567,98.13683395602172,45097.40812881439
1,1,1,0.92,1.4050715603096329,23.634133735059947,178.84235291314215,104.9004612747182,48205.5383723389
1,1,2,0.92,1.4050715603096329,17.679790996876758,172.88801017495896,98.94611853653501,45469.303527805154
1,1,1,0.93,1.475791028179171,24.823676964397404,180.0318961424796,106.09000450405566,48752.17630977572
1,1,2,0.93,1.475791028179171,18.56964276433282,173.77786194241503,99.83597030399108,45878.22244961484
1,1,1,0.94,1.5547735945968535,26.152210393002562,181.36042957108475,107.41853793266081,49362.68524742322
1,1,2,0.94,1.5547735945968535,19.563467780870656,174.77168695895287,100.8297953205289,46334.92082241457
1,1,1,0.95,1.6448536269514722,27.667409754847476,182.8756289329297,108.93373729450573,50058.97390136799
1,1,2,0.95,1.6448536269514722,20.696930438580843,175.90514961666304,101.96325797823908,46855.78771828808
1,1,1,0.96,1.7506860712521692,29.447573991863102,184.6557931699453,110.71390153152134,50877.02345418919
1,1,2,0.96,1.7506860712521692,22.028603179514118,177.2368223575963,103.29493071917237,47467.739282965595
1,1,1,0.97,1.8807936081512509,31.63605962766553,186.84427880574773,112.90238716732378,51882.7113893233
1,1,2,0.97,1.8807936081512509,23.665725532903213,178.87394471098543,104.93205307256146,48220.0559407526
1,1,1,0.98,2.0537489106318225,34.54526999422707,189.7534891723093,115.81159753388532,53219.59828433152
1,1,2,0.98,2.0537489106318225,25.841994476090893,181.0502136541731,107.10832201574914,49220.129865829294
1,1,1,0.99,2.3263478740408408,39.13054560526264,194.33876478334486,120.39687314492089,55326.697497524365
1,1,2,0.99,2.3263478740408408,29.272063687636695,184.4802828657189,110.53839122729494,50796.3701510262
1,2,1,0.9,1.2815515655446004,35.803986000013,449.49439695891715,450.3556608740316,21198.24095734067
1,2,2,0.9,1.2815515655446004,24.729934738157752,438.42034569706186,439.2816096121764,20676.985364445143
1,2,1,0.91,1.3407550336902165,37.45801241738706,451.1484233762912,452.0096872914057,21276.09598080647
1,2,2,0.91,1.3407550336902165,25.872376402525365,439.5627873614295,440.42405127654405,20730.760093586927
1,2,1,0.92,1.4050715603096329,39.25488745586627,452.9452984147704,453.8065623298849,21360.67488886768
1,2,2,0.92,1.4050715603096329,27.113484094674483,440.80389505357863,441.66515896869316,20789.179032656386
1,2,1,0.93,1.475791028179171,41.230647858806684,454.9210588177108,455.7823227328253,21453.67393103409
1,2,2,0.93,1.475791028179171,28.47814851563965,442.16855947454377,443.0298233896583,20853.413786951216
1,2,1,0.94,1.5547735945968535,43.43726269842266,457.1276736573268,457.98893757244133,21557.539291534813
1,2,2,0.94,1.5547735945968535,30.002264880111852,443.692675839016,444.5539397541305,20925.153944226924
1,2,1,0.95,1.6448536269514722,45.95391852719917,459.6443294861033,460.5055934012178,21675.998281395325
1,2,2,0.95,1.6448536269514722,31.740527608848954,445.43093856775306,446.2922024828676,21006.973970868577
1,2,1,0.96,1.7506860712521692,48.91066522078934,462.60107617969345,463.462340094808,21815.17234826261
1,2,2,0.96,1.7506860712521692,33.78276259267791,447.473173551582,448.33443746669656,21103.101971557408
1,2,1,0.97,1.8807936081512509,52.54560942036301,466.23602037926713,467.09728429438167,21986.269171736545
