store_key,item_key,policy_key,avg_daily_demand,annual_demand,unit_price,eoq,best_model_name,service_level,z_value,forecast_error_sigma,safety_stock,reorder_point,avg_inventory,holding_cost
1,1,1,22.172602739726027,8093.0,2297.68,162.5326550793165,XGBoost,0.95,1.645,6.357585730532482,27.66987183599824,182.87809101408044,108.93619937565649,50060.10531629168
1,1,2,22.172602739726027,8093.0,2297.68,162.5326550793165,XGBoost,0.95,1.645,4.755866587731112,20.698772227268798,175.906991405351,101.96509976692704,46856.63408649458
1,2,1,59.0986301369863,21571.0,235.35,829.1033497480373,XGBoost,0.95,1.645,10.55957096379022,45.958007897241835,459.64841885614595,460.5096827712605,21676.19076804323
1,2,2,59.0986301369863,21571.0,235.35,829.1033497480373,XGBoost,0.95,1.645,7.293531530187251,31.743352150626933,445.43376310953107,446.2950270246456,21007.10692205007
1,3,1,37.14520547945205,13558.0,767.06,364.09421485868523,XGBoost,0.95,1.645,8.582328035856596,37.352530798944805,297.3689691551092,219.39963822828742,33658.53729987803
1,3,2,37.14520547945205,13558.0,767.06,364.09421485868523,XGBoost,0.95,1.645,5.925161377118227,25.787848227527814,285.8042865836922,207.83495565687042,31884.376217231806
1,4,1,22.15068493150685,8085.0,1783.76,184.37516984681918,XGBoost,0.95,1.645,6.5576479970144215,28.540595017313635,183.5953895378616,120.72817994072322,43070.01965021289
1,4,2,22.15068493150685,8085.0,1783.76,184.37516984681918,XGBoost,0.95,1.645,4.331803703092008,18.85313991247106,173.907934433019,111.04072483588065,39614.00066665009
1,5,1,18.663013698630138,6812.0,2500.0,142.95453822806746,XGBoost,0.95,1.645,6.195377652110441,26.963899957530863,157.6049958479418,98.44116907156459,49220.58453578229
1,5,2,18.663013698630138,6812.0,2500.0,142.95453822806746,XGBoost,0.95,1.645,4.286730377211412,18.656969038305938,149.29806492871688,90.13423815233966,45067.11907616983
1,6,1,59.172602739726024,21598.0,278.63,762.4712323868309,XGBoost,0.95,1.645,11.176621392127082,48.643572353955626,462.8517915320378,429.8791885473711,23955.4476609908
1,6,2,59.172602739726024,21598.0,278.63,762.4712323868309,XGBoost,0.95,1.645,7.985686214016373,34.75578992244659,448.96400910052876,415.99140611586205,23181.537097212527
1,7,1,58.52876712328767,21363.0,256.08,790.9953335004536,XGBoost,0.95,1.645,11.88980299220732,51.74752475136349,461.4488946143772,447.2451915015903,22906.109727945448
1,7,2,58.52876712328767,21363.0,256.08,790.9953335004536,XGBoost,0.95,1.645,8.04246836901041,35.00292067582538,444.70429053883913,430.5005874260522,22048.51808561269
1,8,1,77.69041095890411,28357.0,85.49,1577.2593651408613,XGBoost,0.95,1.645,15.741203111394343,68.50982292616571,612.3426996384945,857.1395054965964,14655.371264980804
1,8,2,77.69041095890411,28357.0,85.49,1577.2593651408613,XGBoost,0.95,1.645,9.539815241202122,41.51976493143677,585.3526416437655,830.1494475018674,14193.895253386927
1,9,1,51.75068493150685,18889.0,303.16,683.5954537775876,XGBoost,0.95,1.645,11.682084322725464,50.8434789065856,413.09827342713356,392.6412057953794,23806.621589785445
1,9,2,51.75068493150685,18889.0,303.16,683.5954537775876,XGBoost,0.95,1.645,7.7951993854454695,33.92674154521594,396.18153606576385,375.72446843400974,22780.92597009088
1,10,1,74.27397260273973,27110.0,93.02,1478.451978830858,XGBoost,0.95,1.645,15.405507792009658,67.04878931104516,586.9665975302233,806.2747787264742,14999.935983427325
1,10,2,74.27397260273973,27110.0,93.02,1478.451978830858,XGBoost,0.95,1.645,9.741837724638986,42.399019488373725,562.3168277075519,781.6250089038027,14541.351665646345
1,11,1,70.96438356164384,25902.0,101.21,1385.433130110617,XGBoost,0.95,1.645,12.698396880132952,55.266736319179785,552.0174212506867,747.9833013744883,15140.677986422392
1,11,2,70.96438356164384,25902.0,101.21,1385.433130110617,XGBoost,0.95,1.645,8.94706338823964,38.939954214413426,535.6906391459203,731.6565192697219,14810.191263057712
1,12,1,70.78904109589041,25838.0,110.12,1326.5602427833353,XGBoost,0.95,1.645,10.637626698084372,46.297726818154125,541.821014489387,709.5778482098218,15627.742528973116
1,12,2,70.78904109589041,25838.0,110.12,1326.5602427833353,XGBoost,0.95,1.645,7.131288934126964,31.03723004239202,526.5605177136249,694.3173514340597,15291.645347983731
1,13,1,84.98082191780821,31018.0,47.35,2216.550017706031,XGBoost,0.95,1.645,15.180707952271357,66.07040175671943,660.9361551813769,1174.3454106097352,11121.051038474192
1,13,2,84.98082191780821,31018.0,47.35,2216.550017706031,XGBoost,0.95,1.645,10.297860243639942,44.818974561067144,639.6847279857246,1153.0939834140827,10919.800022931364
1,14,1,59.11506849315069,21577.0,182.71,941.1200018393967,XGBoost,0.95,1.645,12.552512725690388,54.63181041689224,468.437289868947,525.1918113365906,19191.559169861695
1,14,2,59.11506849315069,21577.0,182.71,941.1200018393967,XGBoost,0.95,1.645,7.07406513893424,30.78817715564165,444.59365660769646,501.34817807534,18320.265123229074
1,15,1,89.00821917808219,32488.0,40.0,2468.0964324758465,XGBoost,0.95,1.645,13.95963740036743,60.75598412934386,683.8135183759191,1294.8042003672672,10358.433602938137
1,15,2,89.00821917808219,32488.0,40.0,2468.0964324758465,XGBoost,0.95,1.645,9.314044658447166,40.537152450229215,663.5946866968045,1274.5853686881526,10196.68294950522
1,16,1,25.85753424657534,9438.0,1506.73,216.7469028614906,XGBoost,0.95,1.645,9.150667240219846,39.82609129984067,220.82883102586806,148.19954273058596,44659.339403691156
1,16,2,25.85753424657534,9438.0,1506.73,216.7469028614906,XGBoost,0.95,1.645,6.1875385564273975,26.929782167845662,207.93252189387306,135.30323359859096,40773.08823200099
1,17,1,33.16164383561644,12104.0,834.61,329.8020092908939,XGBoost,0.95,1.645,8.019289632578445,34.90204076738581,267.03354761670084,199.80304541283277,33351.52394640088
1,17,2,33.16164383561644,12104.0,834.61,329.8020092908939,XGBoost,0.95,1.645,5.574492016990252,24.261643680264886,256.39315052957994,189.16264832571184,31575.407583824475
1,18,1,84.66027397260274,30901.0,51.52,2120.9428752619015,XGBoost,0.95,1.645,13.525647630065968,58.86714741815255,651.4890652263717,1119.3385850491034,11533.664780345964
1,18,2,84.66027397260274,30901.0,51.52,2120.9428752619015,XGBoost,0.95,1.645,9.909538245590033,43.12889590974241,635.7508137179616,1103.600333540693,11371.497836803304
1,19,1,41.391780821917806,15108.0,547.3,455.0104758824781,XGBoost,0.95,1.645,8.418264447138668,36.638483255554654,326.3809490089793,264.1437211967937,28913.171722201037
1,19,2,41.391780821917806,15108.0,547.3,455.0104758824781,XGBoost,0.95,1.645,6.280152438659432,27.33286194690198,317.0753277003266,254.83809988814102,27894.578413755913
1,20,1,47.846575342465755,17464.0,424.89,555.218895852489,XGBoost,0.95,1.645,10.649359740202888,46.348792078683225,381.2748194759435,323.95824000492775,27529.32331913875
1,20,2,47.846575342465755,17464.0,424.89,555.218895852489,XGBoost,0.95,1.645,7.142087230712762,31.08422704648136,366.01025444374164,308.6936749727259,26232.171111832304
1,21,1,40.12602739726027,14646.0,647.93,411.7428840341323,XGBoost,0.95,1.645,8.523820645382495,37.09789137063127,317.9800831514532,242.96933338769742,31485.424036378154
1,21,2,40.12602739726027,14646.0,647.93,411.7428840341323,XGBoost,0.95,1.645,5.9688410253515345,25.9779534529521,306.860145233774,231.84939547001827,30044.435761377783
1,22,1,81.66575342465754,29808.0,72.21,1759.5368956761133,XGBoost,0.95,1.645,14.27396853489975,62.12403523792792,633.7843092105308,941.8924830759846,13602.81124058337
1,22,2,81.66575342465754,29808.0,72.21,1759.5368956761133,XGBoost,0.95,1.645,8.752923147026916,38.09500523216574,609.7552792047685,917.8634530702224,13255.783989240152
1,23,1,29.605479452054794,10806.0,1075.06,274.56600309646666,XGBoost,0.95,1.645,8.748291758717935,38.07484822188481,245.31320438626835,175.35784977011815,37704.04199477264
1,23,2,29.605479452054794,10806.0,1075.06,274.56600309646666,XGBoost,0.95,1.645,5.423100460388129,23.602748126860817,230.8411042912444,160.88574967509413,34592.36680914134
1,24,1,66.87123287671233,24408.0,141.85,1136.0097503888328,XGBoost,0.95,1.645,11.049702030127808,48.09118617642272,516.189816313409,616.0960613708392,17478.645261090707
1,24,2,66.87123287671233,24408.0,141.85,1136.0097503888328,XGBoost,0.95,1.645,8.42446629512156,36.66547531607989,504.7641054530662,604.6703505104963,17154.49784398278
1,25,1,81.04931506849314,29583.0,56.06,1989.414100272177,XGBoost,0.95,1.645,14.266941798604167,62.093453048246964,629.438658527699,1056.8005031843354,11848.84724170277
1,25,2,81.04931506849314,29583.0,56.06,1989.414100272177,XGBoost,0.95,1.645,9.657158225271235,42.03047221367644,609.3756776931285,1036.737522349765,11623.901100585566
1,26,1,48.12328767123287,17565.0,390.5,580.8235135609178,XGBoost,0.95,1.645,9.709418836489617,42.25792402884251,379.1209377274726,332.66968080930144,25981.502071206447
1,26,2,48.12328767123287,17565.0,390.5,580.8235135609178,XGBoost,0.95,1.645,7.265366688231327,31.620771410038746,368.4837851086688,322.03252819049766,25150.74045167787
