store_key,item_key,naive_stockout_rate,xgb_stockout_rate,n_windows
1,1,0.06976744186046512,0.046511627906976744,86
1,2,0.046511627906976744,0.11627906976744186,86
1,3,0.046511627906976744,0.05813953488372093,86
1,4,0.046511627906976744,0.046511627906976744,86
1,5,0.011627906976744186,0.03488372093023256,86
1,6,0.06976744186046512,0.1744186046511628,86
1,7,0.023255813953488372,0.046511627906976744,86
1,8,0.023255813953488372,0.03488372093023256,86
1,9,0.0,0.0,86
1,10,0.06976744186046512,0.08139534883720931,86
1,11,0.023255813953488372,0.023255813953488372,86
1,12,0.06976744186046512,0.09302325581395349,86
1,13,0.0,0.03488372093023256,86
1,14,0.011627906976744186,0.03488372093023256,86
1,15,0.0,0.011627906976744186,86
1,16,0.0,0.011627906976744186,86
1,17,0.011627906976744186,0.0,86
1,18,0.03488372093023256,0.03488372093023256,86
1,19,0.046511627906976744,0.023255813953488372,86
1,20,0.046511627906976744,0.09302325581395349,86
1,21,0.011627906976744186,0.023255813953488372,86
1,22,0.046511627906976744,0.03488372093023256,86
1,23,0.0,0.046511627906976744,86
1,24,0.05813953488372093,0.046511627906976744,86
1,25,0.05813953488372093,0.08139534883720931,86
1,26,0.06976744186046512,0.08139534883720931,86
1,27,0.03488372093023256,0.023255813953488372,86
1,28,0.023255813953488372,0.06976744186046512,86
1,29,0.023255813953488372,0.046511627906976744,86
1,30,0.08139534883720931,0.0,86
1,31,0.011627906976744186,0.03488372093023256,86
1,32,0.011627906976744186,0.023255813953488372,86
1,33,0.05813953488372093,0.06976744186046512,86
1,34,0.0,0.0,86
1,35,0.0,0.10465116279069768,86
1,36,0.046511627906976744,0.046511627906976744,86
1,37,0.06976744186046512,0.06976744186046512,86
1,38,0.03488372093023256,0.046511627906976744,86
1,39,0.011627906976744186,0.0,86
1,40,0.011627906976744186,0.011627906976744186,86
1,41,0.03488372093023256,0.0,86
1,42,0.06976744186046512,0.046511627906976744,86
1,43,0.046511627906976744,0.023255813953488372,86
1,44,0.11627906976744186,0.11627906976744186,86
1,45,0.023255813953488372,0.046511627906976744,86
1,46,0.011627906976744186,0.023255813953488372,86
1,47,0.046511627906976744,0.023255813953488372,86
1,48,0.06976744186046512,0.09302325581395349,86
1,49,0.06976744186046512,0.10465116279069768,86
1,50,0.011627906976744186,0.046511627906976744,86
2,1,0.046511627906976744,0.046511627906976744,86
2,2,0.06976744186046512,0.046511627906976744,86
2,3,0.05813953488372093,0.18604651162790697,86
2,4,0.08139534883720931,0.10465116279069768,86
2,5,0.046511627906976744,0.046511627906976744,86
2,6,0.023255813953488372,0.05813953488372093,86
2,7,0.023255813953488372,0.09302325581395349,86
2,8,0.09302325581395349,0.1511627906976744,86
2,9,0.08139534883720931,0.11627906976744186,86
2,10,0.03488372093023256,0.023255813953488372,86
2,11,0.0,0.08139534883720931,86
2,12,0.03488372093023256,0.11627906976744186,86
